2019-10-02 02:33:41.210365 I | raft: d27b1d0646021082 became follower at term 552
2019-10-02 02:33:41.210387 I | raft: d27b1d0646021082 [logterm: 122, index: 9, vote: 0] rejected MsgVote from 6ec6db378bd53b9a [logterm: 1, index: 3] at term 552
2019-10-02 02:33:42.595333 I | raft: d27b1d0646021082 is starting a new election at term 552
2019-10-02 02:33:42.595391 I | raft: d27b1d0646021082 became candidate at term 553
2019-10-02 02:33:42.595408 I | raft: d27b1d0646021082 received MsgVoteResp from d27b1d0646021082 at term 553
2019-10-02 02:33:42.595423 I | raft: d27b1d0646021082 [logterm: 122, index: 9] sent MsgVote request to 6ec6db378bd53b9a at term 553
2019-10-02 02:33:42.595435 I | raft: d27b1d0646021082 [logterm: 122, index: 9] sent MsgVote request to 79b8671202ba0d33 at term 553
2019-10-02 02:33:42.600870 I | raft: d27b1d0646021082 received MsgVoteResp from 6ec6db378bd53b9a at term 553
2019-10-02 02:33:42.600904 I | raft: d27b1d0646021082 [quorum:2] has received 2 MsgVoteResp votes and 0 vote rejections
2019-10-02 02:33:42.600930 I | raft: d27b1d0646021082 became leader at term 553
2019-10-02 02:33:42.600947 I | raft: raft.node: d27b1d0646021082 elected leader d27b1d0646021082 at term 553
2019-10-02 02:33:42.606123 N | etcdserver/membership: updated the cluster version from 3.0 to 3.3
2019-10-02 02:33:42.606376 I | etcdserver/api: enabled capabilities for version 3.3
2019-10-02 02:33:42.606715 I | etcdserver: published {Name:etcd-member-localhost.localdomain ClientURLs:[https://172.16.1.11:2379]} to cluster 582d3e403ae36b5f
2019-10-02 02:33:42.607098 I | embed: ready to serve client requests
2019-10-02 02:33:42.610061 I | embed: serving client requests on [::]:2379
2019-10-02 02:33:42.624646 I | embed: rejected connection from "127.0.0.1:51488" (error "tls: failed to verify client's certificate: x509: certificate specifies an incompatible key usage", ServerName "")
WARNING: 2019/10/02 02:33:42 Failed to dial 0.0.0.0:2379: connection error: desc = "transport: authentication handshake failed: remote error: tls: bad certificate"; please retry.
2019-10-02 02:33:42.638319 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:33:42.638400 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:33:46.025667 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:33:46.025736 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:33:46.641507 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:33:46.641554 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:33:50.645082 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:33:50.645823 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:33:51.026033 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:33:51.026345 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:33:54.649797 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:33:54.649826 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:33:56.026263 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:33:56.026646 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:33:58.653915 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:33:58.654061 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:01.026564 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:34:01.026921 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:34:02.658521 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:02.659382 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:06.027411 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:34:06.028054 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:34:06.662821 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:06.663465 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:10.667952 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:10.669131 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:11.028238 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:34:11.028410 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
